eas baseid,cnn,address,zipcode,longitude,latitude,assemdist,bartdist,congdist,nhood,prec_2010,prec_2012,supdist,tractce10,number,number suffix,street,type
373633,7433000,1152 JAMESTOWN AVE,94124,-122.39590536,37.72010593,17,7,12,Bayview Hunters Point,3031,7032,10,023400,1152,,JAMESTOWN,AVE
419298,5349000,50 EVERGLADE DR,94132,-122.48870705,37.7330819,19,8,14,Sunset/Parkside,2729,9724,7,033100,50,,EVERGLADE,DR
419321,4145000,63 CLEARFIELD DR,94132,-122.49174524,37.73271261,19,8,14,Sunset/Parkside,2729,9724,7,033100,63,,CLEARFIELD,DR
302381,1701000,366 32ND AVE,94121,-122.49209283,37.78232218,19,8,12,Outer Richmond,2103,9103,1,042700,366,,32ND,AVE
304527,4173000,2227 CLEMENT ST,94121,-122.48325268,37.7818469,19,8,12,Outer Richmond,2107,9107,1,042601,2227,,CLEMENT,ST
330257,624000,2073 15TH AVE,94116,-122.4721255,37.74933829,19,8,12,Inner Sunset,2711,9709,7,030302,2073,,15TH,AVE
330830,1691000,2038 31ST AVE,94116,-122.4886853,37.74919622,19,8,12,Sunset/Parkside,2432,9431,4,032901,2038,,31ST,AVE
335386,1486000,2311 26TH AVE,94116,-122.48358533,37.74428506,19,8,12,Sunset/Parkside,2439,9438,4,032801,2311,,26TH,AVE
335524,11619000,1729 SANTIAGO ST,94116,-122.48598532,37.74424166,19,8,12,Sunset/Parkside,2439,9438,4,032901,1729,,SANTIAGO,ST
335532,11620000,1825 SANTIAGO ST,94116,-122.48701238,37.74419534,19,8,12,Sunset/Parkside,2439,9438,4,032901,1825,,SANTIAGO,ST
336036,1921000,2366 41ST AVE,94116,-122.49897811,37.74265089,19,8,12,Sunset/Parkside,2437,9436,4,035300,2366,,41ST,AVE
337521,1487000,2422 26TH AVE,94116,-122.48283024,37.74224485,19,8,12,Sunset/Parkside,2446,9447,4,033000,2422,,26TH,AVE
341802,5845000,21 FREDERICK ST,94117,-122.4442791,37.76728254,17,9,12,Haight Ashbury,3801,7802,8,017101,21,,FREDERICK,ST
345799,1127000,4221 21ST ST,94114,-122.43820719,37.75524145,17,9,12,Noe Valley,3838,7838,8,021200,4221,,21ST,ST
